date,player,overall_win_rate,rank,total_games_played,level,last_twenty_games_kda_ratio,last_twenty_games_kill_participation,preferred_positions,last_twenty_games_win_rate
2024/01/29 00:44:01,"Player(name='his%20darling', tag='loml')",0.429,Platinum III,7,491,-1,-1,[],-1
2024/01/29 00:44:04,"Player(name='DLG%20Skibidi', tag='EUNE')",0.531,Emerald IV,64,396,-1,-1,[],-1
2024/01/29 00:44:06,"Player(name='Kuzal', tag='EUNE')",0.679,Emerald IV,53,732,-1,-1,[],-1
2024/01/29 00:44:09,"Player(name='Enryu', tag='219')",0.72,Emerald IV,25,49,-1,-1,[],-1
2024/01/29 00:44:12,"Player(name='Borek4200', tag='EUNE')",0.579,Platinum I,19,520,-1,-1,[],-1
2024/01/29 00:44:15,"Player(name='DLG%20Medusa', tag='EUNE')",0.536,Emerald III,56,613,-1,-1,[],-1
2024/01/29 00:44:18,"Player(name='BooByzz', tag='EUNE')",0.385,Emerald IV,26,448,-1,-1,[],-1
2024/01/29 00:44:24,"Player(name='BlackFireGG', tag='EUNE')",0.581,Platinum II,93,159,-1,-1,[],-1
2024/01/29 00:44:25,"Player(name='Paulinka%20TFT', tag='META')",0.444,Platinum I,9,403,-1,-1,[],-1
2024/01/29 00:44:27,"Player(name='Onaj%20sto%20te%20jebo', tag='2806')",0.505,Emerald III,198,146,-1,-1,[],-1
2024/01/29 00:44:29,"Player(name='BarbossaV2', tag='EUNE')",0.521,Emerald I,48,356,-1,-1,[],-1
2024/01/29 00:44:30,"Player(name='MasterFired', tag='EUNE')",0.48700000000000004,Emerald III,39,317,-1,-1,[],-1
2024/01/29 00:44:32,"Player(name='Rastt', tag='EUNE')",0.617,Emerald IV,60,184,-1,-1,[],-1
2024/01/29 00:44:34,"Player(name='Fjutacz', tag='9520')",0.555,Diamond IV,110,732,-1,-1,[],-1
2024/01/29 00:44:37,"Player(name='acoustic%20player', tag='BBC')",0.5329999999999999,Diamond IV,120,715,-1,-1,[],-1
2024/01/29 00:44:39,"Player(name='Convincing', tag='EUNE')",0.461,Emerald III,89,1021,-1,-1,[],-1
2024/01/29 00:44:42,"Player(name='Paulinka%20TFT', tag='META')",0.444,Platinum I,9,403,-1,-1,[],-1
2024/01/29 00:44:43,"Player(name='FL%C3%8DNT', tag='EUNE')",0.385,Emerald IV,13,121,-1,-1,[],-1
2024/01/29 00:44:45,"Player(name='Bershka00', tag='2203')",0.3,Platinum IV,10,305,-1,-1,[],-1
2024/01/29 00:44:48,"Player(name='innervision', tag='EUNE')",0.25,Emerald III,4,75,-1,-1,[],-1
2024/01/29 00:44:51,"Player(name='Mikrus1991', tag='EUNE')",0.507,Emerald IV,75,448,-1,-1,[],-1
2024/01/29 00:44:54,"Player(name='RONALDlNHO%20JR', tag='4945')",0.37,Emerald IV,27,368,-1,-1,[],-1
2024/01/29 00:44:57,"Player(name='Thedodi', tag='2005')",0.917,Emerald III,12,526,-1,-1,[],-1
2024/01/29 00:45:00,"Player(name='Liman%20Jr', tag='EUNE')",0.561,Emerald III,41,81,-1,-1,[],-1
2024/01/29 00:45:04,"Player(name='The%20desert', tag='rose')",0.534,Emerald IV,103,379,-1,-1,[],-1
2024/01/29 00:45:07,"Player(name='EGF%20Mom%C3%A2ie', tag='EUNE')",0.519,Emerald III,52,373,-1,-1,[],-1
2024/01/29 00:45:11,"Player(name='KristianGeorge', tag='EUNE')",0.2,Platinum I,10,248,-1,-1,[],-1
2024/01/29 00:45:14,"Player(name='nah%20fam', tag='EUNE')",0.526,Emerald IV,38,383,-1,-1,[],-1
2024/01/29 00:45:17,"Player(name='typrestaaan', tag='EUNE')",0.5379999999999999,Platinum I,13,44,-1,-1,[],-1
2024/01/29 00:45:20,"Player(name='Crime%20Pays', tag='BCC')",0.588,Diamond IV,51,411,-1,-1,[],-1
2024/01/29 00:45:23,"Player(name='GrecoBelge', tag='BCC')",0.561,Platinum II,41,403,-1,-1,[],-1
2024/01/29 00:45:26,"Player(name='po%C5%82%20po%C5%82', tag='EUNE')",0.667,Emerald IV,21,141,-1,-1,[],-1
2024/01/29 00:45:29,"Player(name='DeViLGAMER', tag='EUNE')",0.49200000000000005,Emerald IV,130,624,-1,-1,[],-1
2024/01/29 00:45:32,"Player(name='ADAXLOS', tag='EUNE')",0.5429999999999999,Emerald IV,127,708,-1,-1,[],-1
2024/01/29 00:45:36,"Player(name='Paulinka%20TFT', tag='META')",0.444,Platinum I,9,403,-1,-1,[],-1
2024/01/29 00:45:38,"Player(name='his%20darling', tag='loml')",0.429,Platinum III,7,491,-1,-1,[],-1
2024/01/29 00:45:41,"Player(name='Fizz', tag='1234')",0.5,Emerald III,18,447,-1,-1,[],-1
2024/01/29 00:45:44,"Player(name='Wszawcia', tag='Aresu')",0.521,Emerald III,71,603,-1,-1,[],-1
2024/01/29 00:45:47,"Player(name='matteu', tag='9614')",0.462,Platinum IV,52,210,-1,-1,[],-1
2024/01/29 00:45:50,"Player(name='erik36', tag='EUNE')",0.426,Emerald IV,47,766,-1,-1,[],-1
2024/01/29 00:45:54,"Player(name='ArielYum', tag='TFT')",0.474,Platinum I,19,369,-1,-1,[],-1
2024/01/29 00:45:56,"Player(name='ogataaa', tag='EUNE')",0.573,Emerald I,82,223,-1,-1,[],-1
2024/01/29 00:45:59,"Player(name='LeKappaLeKeepo', tag='EUNE')",0.536,Emerald IV,110,380,-1,-1,[],-1
2024/01/29 00:46:02,"Player(name='isildur19', tag='EUNE')",0.552,Emerald IV,174,237,-1,-1,[],-1
2024/01/29 00:46:05,"Player(name='Paulinka%20TFT', tag='META')",0.444,Platinum I,9,403,-1,-1,[],-1
2024/01/29 00:46:08,"Player(name='his%20darling', tag='loml')",0.429,Platinum III,7,491,-1,-1,[],-1
2024/01/29 00:46:10,"Player(name='Grompplank', tag='EUNE')",0.583,Emerald IV,72,521,-1,-1,[],-1
2024/01/29 00:46:13,"Player(name='ziemniok%20na%20moda', tag='EUNE')",0.35700000000000004,Platinum IV,14,500,-1,-1,[],-1
2024/01/29 00:46:16,"Player(name='Rolling%20Monkey', tag='EUNE')",0.519,Emerald III,160,570,-1,-1,[],-1
2024/01/29 00:46:19,"Player(name='HIS%20BEAR', tag='6049')",0.48,Emerald IV,98,186,-1,-1,[],-1
2024/01/29 00:46:23,"Player(name='Nyaidotteh', tag='EUNE')",0.0,Emerald IV,0,43,-1,-1,[],-1
2024/01/29 00:46:26,"Player(name='rizzotto360', tag='rizo')",0.632,Emerald II,57,383,-1,-1,[],-1
2024/01/29 00:46:29,"Player(name='PA%C5%A4O', tag='EUNE')",0.7190000000000001,Platinum I,32,204,-1,-1,[],-1
2024/01/29 00:46:32,"Player(name='Vulcaan', tag='EUNE')",0.648,Emerald III,54,703,-1,-1,[],-1
2024/01/29 00:46:35,"Player(name='%C3%AD%C3%AD%C3%AD%C3%AD%C3%AD%C3%AD', tag='EUNE')",0.6459999999999999,Emerald II,48,204,-1,-1,[],-1
2024/01/29 00:46:38,"Player(name='Poulaw%20Santouits', tag='EUNE')",0.552,Emerald IV,58,536,-1,-1,[],-1
2024/01/29 00:46:41,"Player(name='WowYoMC', tag='EUNE')",0.426,Emerald IV,61,340,-1,-1,[],-1
2024/01/29 00:46:52,"Player(name='Warhonko', tag='EUNE')",0.46299999999999997,Emerald III,80,291,-1,-1,[],-1
2024/01/29 00:46:54,"Player(name='H%C3%A2d%C3%ABs', tag='EUNE')",0.583,Emerald IV,24,231,-1,-1,[],-1
2024/01/29 00:46:56,"Player(name='ajkula5', tag='EUNE')",0.552,Emerald IV,58,271,-1,-1,[],-1
2024/01/29 00:46:57,"Player(name='ShangTsung', tag='EUNE')",0.509,Platinum I,114,497,-1,-1,[],-1
2024/01/29 00:47:00,"Player(name='S%C3%AArgh%C3%AAi%20Mizil', tag='EUNE')",0.778,Emerald IV,9,434,-1,-1,[],-1
2024/01/29 00:47:02,"Player(name='PA%C5%A4O', tag='EUNE')",0.7190000000000001,Platinum I,32,204,-1,-1,[],-1
2024/01/29 00:47:04,"Player(name='DenisG2', tag='EUNE')",0.609,Emerald II,46,95,-1,-1,[],-1
2024/01/29 00:47:06,"Player(name='Antrus', tag='666')",0.526,Emerald III,116,664,-1,-1,[],-1
2024/01/29 00:47:08,"Player(name='L9%20Chil%20Alblax', tag='NOBLK')",0.574,Platinum I,68,430,-1,-1,[],-1
2024/01/29 00:47:10,"Player(name='BONUS', tag='RPK')",0.474,Platinum I,76,709,-1,-1,[],-1
2024/01/29 00:47:13,"Player(name='Luvri', tag='EUNE')",0.509,Emerald IV,57,385,-1,-1,[],-1
2024/01/29 00:47:18,"Player(name='parmezano', tag='EUNE')",0.5,Emerald III,22,383,-1,-1,[],-1
2024/01/29 00:47:21,"Player(name='Jordskalv', tag='EUNE')",0.475,Emerald III,80,448,-1,-1,[],-1
2024/01/29 00:47:23,"Player(name='JasiuuTorpeda', tag='%C5%9A%C4%86%C3%93R')",0.509,Emerald IV,57,354,-1,-1,[],-1
2024/01/29 00:47:25,"Player(name='hArdOnAkAli', tag='1312')",0.7240000000000001,Platinum III,29,357,-1,-1,[],-1
2024/01/29 00:47:28,"Player(name='PA%C5%A4O', tag='EUNE')",0.7190000000000001,Platinum I,32,204,-1,-1,[],-1
2024/01/29 00:47:30,"Player(name='jauggernaut', tag='EUNE')",0.75,Emerald IV,8,250,-1,-1,[],-1
2024/01/29 00:47:32,"Player(name='JHIN%20SAMAA%20', tag='EUNE')",0.493,Emerald IV,67,523,-1,-1,[],-1
2024/01/29 00:47:34,"Player(name='UR%C3%98BOROS', tag='EUNE')",0.466,Emerald IV,88,423,-1,-1,[],-1
2024/01/29 00:47:36,"Player(name='ahojpepo', tag='6464')",0.643,Platinum I,14,380,-1,-1,[],-1
2024/01/29 00:47:41,"Player(name='c6g1w65rcsz', tag='EUNE')",0.531,Emerald I,113,366,-1,-1,[],-1
2024/01/29 00:47:44,"Player(name='den%20jero%20onoma', tag='EUNE')",0.516,Platinum IV,62,284,-1,-1,[],-1
2024/01/29 00:47:46,"Player(name='Chrupnik2', tag='EUNE')",0.8,Emerald III,5,65,-1,-1,[],-1
2024/01/29 00:47:48,"Player(name='Oloter', tag='2115')",0.75,Platinum III,8,291,-1,-1,[],-1
2024/01/29 00:47:50,"Player(name='Jesus%20Christ', tag='Jerus')",0.556,Platinum II,27,34,-1,-1,[],-1
2024/01/29 00:47:53,"Player(name='PA%C5%A4O', tag='EUNE')",0.7190000000000001,Platinum I,32,204,-1,-1,[],-1
2024/01/29 00:47:56,"Player(name='Petfi', tag='EUNE')",0.28600000000000003,Emerald IV,21,386,-1,-1,[],-1
2024/01/29 00:47:58,"Player(name='Nelperril', tag='EUNE')",0.889,Emerald IV,9,31,-1,-1,[],-1
2024/01/29 00:48:00,"Player(name='jon', tag='7312')",1.0,Gold I,11,208,-1,-1,[],-1
2024/01/29 00:48:02,"Player(name='%CE%BBLast%20Breath%CE%BB', tag='EUNE')",0.537,Platinum I,54,360,-1,-1,[],-1
2024/01/29 00:48:04,"Player(name='g%C3%B3vvno%20w%20kiblu', tag='EUNE')",0.25,Platinum II,4,31,-1,-1,[],-1
2024/01/29 00:48:05,"Player(name='Abok12', tag='EUNE')",0.485,Platinum III,33,467,-1,-1,[],-1
2024/01/29 00:48:08,"Player(name='grzecznyananas', tag='4200')",0.41700000000000004,Emerald IV,48,171,-1,-1,[],-1
2024/01/29 00:48:11,"Player(name='Panzerfahrer%20', tag='EUNE')",0.45,Emerald IV,60,280,-1,-1,[],-1
2024/01/29 00:48:14,"Player(name='Nem%C3%89nAkartam', tag='EUNE')",0.617,Emerald II,47,390,-1,-1,[],-1
2024/01/29 00:48:17,"Player(name='straf324', tag='EUNE')",0.778,Emerald I,54,97,-1,-1,[],-1
2024/01/29 00:48:20,"Player(name='Ezirek', tag='1337')",0.527,Emerald II,110,682,-1,-1,[],-1
2024/01/29 00:48:23,"Player(name='PA%C5%A4O', tag='EUNE')",0.7190000000000001,Platinum I,32,204,-1,-1,[],-1
2024/01/29 00:48:26,"Player(name='INF%20BRI4NS', tag='EUNE')",0.524,Emerald II,21,314,-1,-1,[],-1
2024/01/29 00:48:28,"Player(name='SlotsAddict', tag='EUNE')",0.515,Emerald IV,136,635,-1,-1,[],-1
2024/01/29 00:48:32,"Player(name='ECPU%20Skhaty', tag='ZTR')",0.57,Emerald I,107,296,-1,-1,[],-1
2024/01/29 00:48:35,"Player(name='Kapisx', tag='TYPER')",0.534,Platinum I,118,268,-1,-1,[],-1
2024/01/29 00:48:38,"Player(name='Toor', tag='1273')",0.462,Emerald IV,13,478,-1,-1,[],-1
2024/01/29 00:48:41,"Player(name='padnav%20vo%20dupka', tag='AN%C3%8B')",0.517,Emerald III,265,285,-1,-1,[],-1
2024/01/29 00:48:44,"Player(name='King%20Patience', tag='0000')",0.514,Emerald IV,72,412,-1,-1,[],-1
2024/01/29 00:48:47,"Player(name='maraqyica', tag='666')",0.455,Emerald III,66,208,-1,-1,[],-1
2024/01/29 00:48:50,"Player(name='111296', tag='EUNE')",0.43,Emerald IV,100,139,-1,-1,[],-1
2024/01/29 00:48:53,"Player(name='PA%C5%A4O', tag='EUNE')",0.7190000000000001,Platinum I,32,204,-1,-1,[],-1
2024/01/29 00:48:56,"Player(name='INF%20BRI4NS', tag='EUNE')",0.524,Emerald II,21,314,-1,-1,[],-1
2024/01/29 00:48:59,"Player(name='DenyK1Ng', tag='EUNE')",0.484,Platinum I,93,462,-1,-1,[],-1
2024/01/29 00:49:02,"Player(name='Dont%20Cry%20BaBy', tag='EUNE')",0.506,Platinum I,83,234,-1,-1,[],-1
2024/01/29 00:49:12,"Player(name='kocham%20yokera%2043', tag='EUNE')",0.557,Emerald III,79,124,-1,-1,[],-1
2024/01/29 00:49:14,"Player(name='dlugosz', tag='EUNE')",0.45,Emerald IV,40,382,-1,-1,[],-1
2024/01/29 00:49:15,"Player(name='Pieczareto', tag='EUNE')",0.506,Emerald III,154,391,-1,-1,[],-1
2024/01/29 00:49:17,"Player(name='17082001', tag='EUNE')",0.614,Emerald IV,44,550,-1,-1,[],-1
2024/01/29 00:49:19,"Player(name='Griphyn', tag='EUNE')",0.456,Emerald IV,136,150,-1,-1,[],-1
2024/01/29 00:49:21,"Player(name='Kirishima%20T%C3%B6uka', tag='EUNE')",0.522,Emerald IV,46,519,-1,-1,[],-1
2024/01/29 00:49:24,"Player(name='PA%C5%A4O', tag='EUNE')",0.7190000000000001,Platinum I,32,204,-1,-1,[],-1
2024/01/29 00:49:25,"Player(name='INF%20BRI4NS', tag='EUNE')",0.524,Emerald II,21,314,-1,-1,[],-1
2024/01/29 00:49:27,"Player(name='SSJ%20KAKAROT', tag='EUNE')",0.679,Platinum II,28,267,-1,-1,[],-1
2024/01/29 00:49:30,"Player(name='Ninjalrs%20v2', tag='EUNE')",0.652,Emerald III,23,381,-1,-1,[],-1
2024/01/29 00:49:32,"Player(name='BronzakiS', tag='EUNE')",0.525,Emerald IV,101,915,-1,-1,[],-1
2024/01/29 00:49:35,"Player(name='Comway', tag='EUNE')",0.5660000000000001,Emerald II,76,322,-1,-1,[],-1
2024/01/29 00:49:37,"Player(name='Pivkule', tag='EUNE')",0.5,Emerald IV,12,73,-1,-1,[],-1
2024/01/29 00:49:40,"Player(name='The%20Barber', tag='3120')",0.622,Platinum II,45,230,-1,-1,[],-1
2024/01/29 00:49:42,"Player(name='PA%C5%A4O', tag='EUNE')",0.7190000000000001,Platinum I,32,204,-1,-1,[],-1
2024/01/29 00:49:44,"Player(name='silver2wolv', tag='EUNE')",0.5,Platinum II,30,572,-1,-1,[],-1
2024/01/29 00:49:46,"Player(name='btakiii', tag='6666')",0.64,Platinum III,25,289,-1,-1,[],-1
2024/01/29 00:49:49,"Player(name='MrMadness', tag='EUNE')",0.909,Platinum I,11,399,-1,-1,[],-1
2024/01/29 00:49:51,"Player(name='PIRIGZ', tag='EUNE')",0.466,Platinum III,58,306,-1,-1,[],-1
2024/01/29 00:49:54,"Player(name='XASAME%20ALITHEIA', tag='EUNE')",0.517,Emerald IV,60,326,-1,-1,[],-1
2024/01/29 00:49:56,"Player(name='SBR98', tag='EUNE')",0.525,Platinum I,160,583,-1,-1,[],-1
2024/01/29 00:49:59,"Player(name='Pythoni', tag='EUNE')",0.5,Platinum IV,88,262,-1,-1,[],-1
2024/01/29 00:50:01,"Player(name='Bondis', tag='EUNE')",0.495,Platinum III,93,617,-1,-1,[],-1
2024/01/29 00:50:04,"Player(name='Tryyourself', tag='EUNE')",0.47600000000000003,Platinum II,105,185,-1,-1,[],-1
2024/01/29 00:50:07,"Player(name='ORTHOPAIDIKOSSSS', tag='EUNE')",0.526,Platinum IV,76,215,-1,-1,[],-1
2024/01/29 00:50:10,"Player(name='miYYYagi', tag='EUNE')",0.52,Platinum II,152,273,-1,-1,[],-1
2024/01/29 00:50:12,"Player(name='EvilG%C3%B9ard', tag='EUNE')",0.528,Platinum III,53,201,-1,-1,[],-1
2024/01/29 00:50:15,"Player(name='Jasiell00', tag='OWO')",0.33299999999999996,Platinum III,12,367,-1,-1,[],-1
2024/01/29 00:50:17,"Player(name='Brose', tag='EUNE')",0.5429999999999999,Emerald IV,129,542,-1,-1,[],-1
2024/01/29 00:50:20,"Player(name='PA%C5%A4O', tag='EUNE')",0.7190000000000001,Platinum I,32,204,-1,-1,[],-1
2024/01/29 00:50:22,"Player(name='Himura21', tag='9301')",0.47100000000000003,Platinum II,70,571,-1,-1,[],-1
2024/01/29 00:50:25,"Player(name='HLDart', tag='EUNE')",0.6,Emerald IV,5,194,-1,-1,[],-1
2024/01/29 00:50:28,"Player(name='MirrorFear', tag='EUNE')",0.381,Gold II,21,250,-1,-1,[],-1
2024/01/29 00:50:30,"Player(name='Minor%20Rodent', tag='EUNE')",0.534,Platinum I,58,545,-1,-1,[],-1
2024/01/29 00:50:33,"Player(name='xD%20Buff%20Addict%20', tag='EUNE')",0.375,Platinum IV,40,590,-1,-1,[],-1
2024/01/29 00:50:35,"Player(name='TheGrandGeneral', tag='1044')",0.45299999999999996,Platinum IV,53,329,-1,-1,[],-1
2024/01/29 00:50:38,"Player(name='figurant', tag='EUNE')",0.433,Gold I,60,675,-1,-1,[],-1
2024/01/29 00:50:41,"Player(name='okoun%C3%A1tor', tag='EUNE')",0.6,Platinum I,10,65,-1,-1,[],-1
2024/01/29 00:50:44,"Player(name='EIMAI%20REAL%20CROOK', tag='EUNE')",0.534,Emerald IV,148,230,-1,-1,[],-1
2024/01/29 00:50:46,"Player(name='jimhsThePain', tag='EUNE')",0.645,Emerald IV,31,403,-1,-1,[],-1
2024/01/29 00:50:49,"Player(name='i%20m%20yikes', tag='L99')",0.54,Platinum I,63,1108,-1,-1,[],-1
2024/01/29 00:50:52,"Player(name='PA%C5%A4O', tag='EUNE')",0.7190000000000001,Platinum I,32,204,-1,-1,[],-1
2024/01/29 00:50:55,"Player(name='Ant1vist', tag='EUNE')",0.495,Platinum III,99,339,-1,-1,[],-1
2024/01/29 00:50:58,"Player(name='SilentBomber', tag='EUNE')",0.563,Platinum IV,16,489,-1,-1,[],-1
2024/01/29 00:51:00,"Player(name='PA%C5%A4O', tag='EUNE')",0.7190000000000001,Platinum I,32,204,-1,-1,[],-1
2024/01/29 00:51:03,"Player(name='Bi%C8%99taru', tag='EUNE')",0.48100000000000004,Platinum IV,162,549,-1,-1,[],-1
2024/01/29 00:51:06,"Player(name='figurant', tag='EUNE')",0.433,Gold I,60,675,-1,-1,[],-1
2024/01/29 00:51:10,"Player(name='okoun%C3%A1tor', tag='EUNE')",0.6,Platinum I,10,65,-1,-1,[],-1
2024/01/29 00:51:12,"Player(name='topgap69', tag='EUNE')",0.5,Platinum I,16,41,-1,-1,[],-1
2024/01/29 00:51:15,"Player(name='Makowiec%20Mammon', tag='EUNE')",0.5379999999999999,Emerald III,26,326,-1,-1,[],-1
2024/01/29 00:51:25,"Player(name='hayna', tag='EUNE')",0.605,Platinum III,38,439,-1,-1,[],-1
2024/01/29 00:51:27,"Player(name='maksik929', tag='EUNE')",0.5479999999999999,Gold I,31,297,-1,-1,[],-1
2024/01/29 00:51:29,"Player(name='PELOPIDAS33', tag='EUNE')",0.574,Emerald III,54,492,-1,-1,[],-1
2024/01/29 00:51:30,"Player(name='PA%C5%A4O', tag='EUNE')",0.7190000000000001,Platinum I,32,204,-1,-1,[],-1
2024/01/29 00:51:33,"Player(name='Yummi%20Bot', tag='EUNE')",0.532,Emerald IV,111,327,-1,-1,[],-1
2024/01/29 00:51:35,"Player(name='HOT%20RETIRED', tag='EUNE')",0.5379999999999999,Platinum II,13,332,-1,-1,[],-1
2024/01/29 00:51:37,"Player(name='Kubox666', tag='1939')",0.46,Platinum III,63,529,-1,-1,[],-1
2024/01/29 00:51:38,"Player(name='teofanov03', tag='EUNE')",0.544,Emerald IV,57,327,-1,-1,[],-1
2024/01/29 00:51:40,"Player(name='piranc%20vonalas', tag='222')",0.638,Emerald IV,58,389,-1,-1,[],-1
2024/01/29 00:51:42,"Player(name='Et%C3%ABrnalYi', tag='EUNE')",0.488,Emerald IV,84,219,-1,-1,[],-1
2024/01/29 00:51:45,"Player(name='Prod%C3%A1m%20Yangy%20PM', tag='EUNE')",0.528,Emerald IV,53,284,-1,-1,[],-1
2024/01/29 00:51:47,"Player(name='Try4ardOrGoHom3', tag='EUNE')",0.45299999999999996,Platinum I,53,365,-1,-1,[],-1
2024/01/29 00:51:49,"Player(name='DrillZZ', tag='EUNE')",0.563,Emerald III,80,354,-1,-1,[],-1
2024/01/29 00:51:52,"Player(name='ZzMushi', tag='wons')",0.591,Emerald IV,93,527,-1,-1,[],-1
2024/01/29 00:51:54,"Player(name='jObaticE', tag='EUNE')",0.603,Emerald IV,78,411,-1,-1,[],-1
2024/01/29 00:51:56,"Player(name='Runda%202%20udri', tag='EUNE')",0.8,Emerald IV,5,33,-1,-1,[],-1
2024/01/29 00:51:58,"Player(name='PA%C5%A4O', tag='EUNE')",0.7190000000000001,Platinum I,32,204,-1,-1,[],-1
